Daily Stress (1-10),Stress Causes,Behavioral Effects,Psychological Effects,Cognitive Effects,Social Effects,Stress Relievers,Stress Handling (1-10),Pressing Academic Stressors,Stress Level
7,"Studies issues, Financial issues, Family issues, Friends issues","Decreased efficiency, Irritability, Change in sleep patterns","Anxiety, Restlessness, Sadness","Memory problems, Difficulty concentrating","Withdrawing, Difficulty listening","Talking with someone, Sports",8,"Work-Life balance, Grades",5.8
5,"Family issues, Work","Change in activity levels, Difficulty communicating","Denial, Irritability, Feeling overwhelmed","Slowness in thinking, Loss of objectivity","Blaming, Impatient","Eating, Social Media",6,"Relationship with faculty, Study workload",4.2
9,"Friends issues, Issues with the significant other (partner),Health Related Issues","Inability to relax, Increased anger, Change in eating habits","Feeling heroic, Anxiety, Vivid dreams","Difficulty calculating, Limited attention span","Withdrawing, Avoiding triggers","Computer Games, Sleeping",3,"Campus social life, Grades",7
8,"Studies issues, Financial issues, Family issues, Friends issues, Issues with the significant other (partner), Work (job-related) issues, Health Related Issues, Sports / Athletics activities issues, My involvement in clubs and organizations","Change in activity levels, Decreased efficiency and effectiveness, Difficulty communicating, Increased sense of humor/gallows humor, Irritability, outbursts of anger, frequent arguments, Inability to rest, relax or let down, Change in eating habits, Change in sleep patterns, Change in activity performance, Periods of crying, Increased use of tobacco, alcohol, drugs, sugar or caffeine, Hyper-vigilance about safety or the surrounding environment, Avoidance of activities or places that trigger memories, Accident prone","Feeling heroic, euphoric or invulnerable, Denial, Anxiety or fear, Worry about safety of self or others, Irritability or anger, Restlessness, Sadness, moodiness, grief or depression, Vivid or distressing dreams, Guilt or 'survivor guilt', Feeling overwhelmed, helpless or hopeless, Feeling isolated, lost, lonely or abandoned, Apathy, Over-identification with survivors, Feeling misunderstood or unappreciated","Memory problems/forgetfulness, Disorientation, Confusion, Slowness in thinking, analyzing, or comprehending, Difficulty calculating, setting priorities or making decisions, Difficulty Concentrating, Limited attention span, Loss of objectivity, Inability to stop thinking about the disaster or an incident","Withdrawing or isolating from people, Difficulty listening, Difficulty sharing ideas, Difficulty engaging in mutual problem solving, Blaming, Criticizing, Intolerance of group process, Difficulty in giving or accepting support or help, Impatient with or disrespectful to others","Eating, Sleeping, Drinking, Drugs, Sports / Exercise, Talking with someone, Shopping, Computer Games, Social Media",2,"Study workload, Grades, Financial pressure (e.g. tuition, living costs), Work (and Study) - Life balance, Relationship with (some) faculty members, Relationship with other students, Campus social life",9.4
4,"Studies, Work","Decreased efficiency, Irritability, Change in sleep patterns","Anxiety, Worry about safety, Restlessness","Memory problems, Difficulty concentrating","Difficulty sharing ideas, Intolerance of group process","Talking with someone, Sports",9,"Study workload, Financial pressure",5.3
3,"Sports, Finances","Change in activity levels, Decreased efficiency","Denial, Sadness, Apathy","Memory problems, Difficulty thinking","Withdrawing, Difficulty listening","Shopping, Social Media",7,"Work-Life balance, Other",3.7
6,"Studies, Friends","Increased humor, Irritability, Change in sleep patterns","Denial, Worry about safety, Feeling isolated","Loss of objectivity, Inability to stop thinking","Blaming, Difficulty giving support","Eating, Talking with someone",5,"Grades, Relationship with other students",6.1
8,"Studies issues, Financial issues, Family issues, Friends issues","Change in activity levels, Decreased efficiency and effectiveness, Difficulty communicating, Increased sense of humor/gallows humor, Irritability, outbursts of anger, frequent arguments, Inability to rest, relax or let down, Change in eating habits, Change in sleep patterns, Change in activity performance, Periods of crying, Increased use of tobacco, alcohol, drugs, sugar or caffeine, Hyper-vigilance about safety or the surrounding environment, Avoidance of activities or places that trigger memories, Accident prone","Feeling heroic, euphoric or invulnerable, Denial, Anxiety or fear, Worry about safety of self or others, Irritability or anger, Restlessness, Sadness, moodiness, grief or depression, Vivid or distressing dreams, Guilt or 'survivor guilt', Feeling overwhelmed, helpless or hopeless, Feeling isolated, lost, lonely or abandoned, Apathy, Over-identification with survivors, Feeling misunderstood or unappreciated","Memory problems/forgetfulness, Disorientation, Confusion, Slowness in thinking, analyzing, or comprehending, Difficulty calculating, setting priorities or making decisions, Difficulty Concentrating, Limited attention span, Loss of objectivity, Inability to stop thinking about the disaster or an incident","Withdrawing or isolating from people, Difficulty listening, Difficulty sharing ideas, Difficulty engaging in mutual problem solving, Blaming, Criticizing, Intolerance of group process, Difficulty in giving or accepting support or help, Impatient with or disrespectful to others","Eating, Sleeping, Drinking, Drugs, Sports / Exercise, Talking with someone, Shopping, Computer Games, Social Media",1,"Work-Life balance, Financial pressure",8.7
5,"Studies, Other","Decreased efficiency, Difficulty communicating","Anxiety, Denial, Feeling overwhelmed","Slowness in thinking, Difficulty concentrating","Difficulty listening, Difficulty engaging in problem solving","Talking with someone, Sports",8,"Study workload, Other",5.5
7,"Friends issues, Issues with the significant other (partner),Health Related Issues","Change in activity levels, Irritability, Change in sleep patterns","Anxiety, Restlessness, Sadness","Memory problems, Difficulty concentrating","Withdrawing, Avoiding triggers","Eating, Sleeping",6,"Grades, Relationship with faculty",6.4
