Student,Class Level,Gender,Daily Stress (1-10),Stress Causes,Behavioral Effects,Psychological Effects,Cognitive Effects,Social Effects,Stress Relievers,Stress Handling (1-10),Pressing Academic Stressors,Stress Level
1,Sophomore,Female,7,"Studies, Finances","Decreased efficiency, Irritability, Change in sleep patterns","Anxiety, Restlessness, Sadness","Memory problems, Difficulty concentrating","Withdrawing, Difficulty listening","Talking with someone, Sports",8,"Work-Life balance, Grades",5.8
2,Junior,Male,5,"Family issues, Work","Change in activity levels, Difficulty communicating","Denial, Irritability, Feeling overwhelmed","Slowness in thinking, Loss of objectivity","Blaming, Impatient","Eating, Social Media",6,"Relationship with faculty, Study workload",4.2
3,Senior,Other,9,"Studies, Social life","Inability to relax, Increased anger, Change in eating habits","Feeling heroic, Anxiety, Vivid dreams","Difficulty calculating, Limited attention span","Withdrawing, Avoiding triggers","Computer Games, Sleeping",3,"Campus social life, Grades",7
4,Freshman,Female,8,All listed,All listed,All listed,All listed,All listed,None of the Above,2,None of the Above,9
5,Graduate,Male,4,"Studies, Work","Decreased efficiency, Irritability, Change in sleep patterns","Anxiety, Worry about safety, Restlessness","Memory problems, Difficulty concentrating","Difficulty sharing ideas, Intolerance of group process","Talking with someone, Sports",9,"Study workload, Financial pressure",5.3
6,Junior,Other,3,"Sports, Finances","Change in activity levels, Decreased efficiency","Denial, Sadness, Apathy","Memory problems, Difficulty thinking","Withdrawing, Difficulty listening","Shopping, Social Media",7,"Work-Life balance, Other",3.7
7,Freshman,Male,6,"Studies, Friends","Increased humor, Irritability, Change in sleep patterns","Denial, Worry about safety, Feeling isolated","Loss of objectivity, Inability to stop thinking","Blaming, Difficulty giving support","Eating, Talking with someone",5,"Grades, Relationship with other students",6.1
8,Senior,Male,8,"Studies, Work",All listed,All listed,All listed,All listed,All listed,1,"Work-Life balance, Financial pressure",8.7
9,Graduate,Female,5,"Studies, Other","Decreased efficiency, Difficulty communicating","Anxiety, Denial, Feeling overwhelmed","Slowness in thinking, Difficulty concentrating","Difficulty listening, Difficulty engaging in problem solving","Talking with someone, Sports",8,"Study workload, Other",5.5
10,Freshman,Male,7,"Studies, Family","Change in activity levels, Irritability, Change in sleep patterns","Anxiety, Restlessness, Sadness","Memory problems, Difficulty concentrating","Withdrawing, Avoiding triggers","Eating, Sleeping",6,"Grades, Relationship with faculty",6.4
11,Sophomore,Female,4,"Finances, Social life","Decreased efficiency, Change in sleep patterns","Denial, Sadness, Feeling isolated","Memory problems, Loss of objectivity","Withdrawing, Difficulty listening","Shopping, Social Media",5,"Campus social life, Financial pressure",4.3
12,Senior,Other,6,"Studies, Health","Change in activity levels, Inability to relax, Change in eating habits","Anxiety, Worry about safety, Feeling overwhelmed","Slowness in thinking, Difficulty calculating","Blaming, Impatient","Talking with someone, Sports",4,"Study workload, Health-related issues",5.9
13,Senior,Male,5,"Studies, Relationships","Decreased efficiency, Inability to relax, Change in sleep patterns","Denial, Sadness, Feeling isolated","Difficulty remembering dates and deadlines, Loss of focus","Difficulty initiating conversations, Avoiding social situations","Talking with a trusted friend, Reading",6,"Grades, Relationship with significant other",5.4
14,Graduate,Female,8,"Studies, Work",All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),All listed (except None of the Above),7,All listed (except None of the Above),8.2
15,Sophomore,Male,4,"Studies, Personal growth","Decreased efficiency, Change in sleep patterns, Difficulty communicating","Denial, Apathy, Feeling disconnected","Difficulty organizing thoughts, Inability to prioritize tasks","Difficulty asking for help, Avoiding social gatherings","Listening to music, Playing video games",3,"Study workload, Finding purpose in life",3.9
16,Junior,Female,7,"Studies, Family","Increased humor, Change in activity levels, Accident prone","Anxiety, Restlessness, Feeling guilty","Difficulty focusing on details, Difficulty making decisions","Withdrawing, Difficulty listening","Spending time with family, Watching comedies",5,"Grades, Relationship with family",6.3
17,Senior,Male,3,"Sports, Social life","Increased activity levels, Talkative, Difficulty making decisions","Denial, Feeling optimistic, Apathy","Difficulty remembering names and faces, Difficulty following instructions","Difficulty saying no, Easily swayed by others","Sports, Spending time with friends",8,"Balancing academics and social life, Sports performance",3.5
